trait	study	category
Self-reported dementia or alzheimers/cognitive impairment	Neale B	Neurological
Self-reported high cholesterol	Neale B	Metabolic
Treatment with atorvastatin	Neale B	Treatment
Treatment with cholesterol lowering medication	Neale B	Treatment
Treatment with ezetimibe	Neale B	Treatment
Treatment with ezetrol 10mg tablet	Neale B	Treatment
Treatment with lipitor 10mg tablet	Neale B	Treatment
Treatment with none of the above	Neale B	Treatment
Treatment with rosuvastatin	Neale B	Treatment
Treatment with simvastatin	Neale B	Treatment
Trunk fat mass	Neale B	Anthropometric
Waist circumference	Neale B	Anthropometric
Weight	Neale B	Anthropometric
Weight change compared with 1 year ago	Neale B	Anthropometric
Whole body fat mass	Neale B	Anthropometric
Coronary artery disease	Nelson CP	Vascular
Schizophrenia	PGC	Psychiatric
High grade serous ovarian cancer	Phelan M	Cancer
Invasive ovarian cancer	Phelan M	Cancer
Serous invasive ovarian cancer	Phelan M	Cancer
Alzheimers disease	Potkin SG	Neurological
C-reactive protein	Prins B	Metabolic
Low density lipoprotein	Prins B	Metabolic
Total cholesterol	Prins B	Metabolic
Cognitive decline age related	Raj T	Ageing
Cortical amyloid beta load	Ramanan VK	Other
Alzheimers disease biomarkers	Ramanan VK	Neurological
Cerebrospinal AB1 42 levels in Alzheimers disease dementia	Ramirez A	Neurological
Late onset Alzheimers disease	Reitz C	Neurological
Renal cell carcinoma	Scelo G	Cancer
Posterior cortical atrophy	Schott JM	Other
Brain imaging	Shen	Neurological
Neuroticism	SSGAC	Psychiatric
Years of educational attainment	SSGAC	Other
Idiopathic membranous nephropathy	Stanescu HC	Other
Blood protein levels	Suhre K	Other
Cholesterol total	Surakka I	Metabolic
HDL cholesterol	Surakka I	Metabolic
LDL cholesterol change with statins	Thompson	Metabolic
Coronary artery disease	van der Harst P	Vascular
White matter hyperintensity burden	Verhaaren BF	WMH
FAM117B transcript levels	Wild PS	Other
